station_number,latitude,longitude,county,locality,address,institution
916,44.39328805356503,26.06791571557704,MUNICIPIUL BUCUREŞTI,BUCUREŞTI SECTORUL 5,"UAT: MUNICIPIUL BUCUREŞTI, Localitate: BUCUREŞTI SECTORUL 5, Artera: Strada Bacău, Nr: 1 Etaj: Etaj 1  Rampa: Da",ȘCOALA GIMNAZIALĂ ”PETRACHE POENARU”
43,44.29732560136394,23.797254810655854,JUDEŢUL DOLJ,CRAIOVA,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Strada Dr. Nicolae Ionescu Siseşti, Nr: 3 Etaj: Parter  Rampa: Da",ȘCOALA GIMNAZIALA ”GHEORGHE BIBESCU” (FOSTA NR. 36)
208,45.8974183311054,23.160983211718037,JUDEŢUL HUNEDOARA,CIGMĂU,"UAT: ORAŞ GEOAGIU, Localitate: CIGMĂU, Nr: 37 Etaj: Parter  Rampa: Nu",Şcoala Primară Cigmau
314,44.987450628485384,23.124532815016664,JUDEŢUL GORJ,BUDUHALA,"UAT: TELEŞTI, Localitate: BUDUHALA, Artera: Strada Trandafirilor, Nr: 66 Etaj: Parter  Rampa: Da",ŞCOALA PRIMARĂ NR.1 BUDUHALA
161,46.3296813646923,25.88408398265964,JUDEŢUL HARGHITA,MISENTEA,"UAT: LELICENI, Localitate: MISENTEA, Nr: 116 Etaj: Parter  Rampa: Da",Sediu Administrativ
765,44.37711622100958,26.11460705294259,MUNICIPIUL BUCUREŞTI,BUCUREŞTI SECTORUL 4,"UAT: MUNICIPIUL BUCUREŞTI, Localitate: BUCUREŞTI SECTORUL 4, Artera: Strada Stupilor, Nr: 1 Etaj: Parter  Rampa: Da",Şcoala Gimnazială Avram Iancu
35,47.14010068000003,24.50300176999999,JUDEŢUL BISTRIŢA-NĂSĂUD,BISTRIŢA,"UAT: MUNICIPIUL BISTRIŢA, Localitate: BISTRIŢA, Artera: Strada 1 Decembrie, Nr: 27-29 Etaj: Parter  Rampa: Da",ȘCOALA GIMNAZIALĂ ”AVRAM IANCU”
68,46.19421880197469,21.29865105117121,JUDEŢUL ARAD,ARAD,"UAT: MUNICIPIUL ARAD, Localitate: ARAD, Artera: Strada Constantin Brâncuşi (Strada Ural), Nr: 60/A Etaj: Parter  Rampa: Da",Grădiniţa cu Program Prelungit „Furnicuţa” Arad
79,45.756224482776126,22.90289334268186,JUDEŢUL HUNEDOARA,HUNEDOARA,"UAT: MUNICIPIUL HUNEDOARA, Localitate: HUNEDOARA, Artera: Piaţa Florilor, Nr: 1 Etaj: Parter  Rampa: Da",Şcoala Gimnazială Nr.6 (FOSTA ȘCOALĂ GENERALĂ NR. 6)
240,44.90651510938601,25.326680301975994,JUDEŢUL DÂMBOVIŢA,DECINDENI,"UAT: DRAGOMIREŞTI, Localitate: DECINDENI, Artera: Strada Şcolii, Nr: 11 Etaj: Parter  Rampa: Da",ŞCOALA GIMNAZIALĂ DECINDENI-DRAGOMIREŞTI
138,44.66308016530761,24.87682376254026,JUDEŢUL ARGEŞ,COSTEŞTI,"UAT: ORAŞ COSTEŞTI, Localitate: COSTEŞTI, Artera: Strada Victoriei, Nr: 105 Etaj: Parter  Rampa: Da",LICEUL TEORETIC COSTEŞTI
597,44.93123927777068,26.30028438539091,JUDEŢUL PRAHOVA,MAGULA,"UAT: TOMŞANI, Localitate: MAGULA Etaj: Parter  Rampa: Da","ṢCOALA VECHE MAGULA, SAT MAGULA, NR. 406A"
178,44.05594562303619,24.382553904603537,JUDEŢUL OLT,DEVESELU,"UAT: DEVESELU, Localitate: DEVESELU, Artera: Strada Maria Coloni, Nr: 96 Etaj: Parter  Rampa: Da",Căminul Cultural Deveselu-Bibliotecă
246,46.578724148020186,24.370049563359334,JUDEŢUL MUREŞ,BAND,"UAT: BAND, Localitate: BAND, Artera: Strada Păcii, Nr: 4 Etaj: Parter  Rampa: Nu e cazul",Scoala Profesionala Band
306,47.217427279999995,27.239351639999988,JUDEŢUL IAŞI,BUDĂI,"UAT: ORAŞ PODU ILOAIEI, Localitate: BUDĂI Etaj: Parter  Rampa: Da",Şcoala Gimnazială Budăi
